Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio
Tejas Networks Ltd,TEJASNET,Telecom Equipments,1672.26557,179.35,-7.184708584
Filatex India Ltd,FILATEX,Textiles,1661.65545,75.25,13.54057098
Welspun Enterprises Ltd,WELENT,Construction & Engineering,1659.089904,111.45,11.09937766
Jagran Prakashan Ltd,JAGRAN,Publishing,1655.177218,59.5,6.284359243
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Sugar,1645.900727,203.35,8.519595872
JSW Ispat Special Products Ltd,JSWISPL,Iron & Steel,1641.068631,34.95,-3.336319085
Swaraj Engines Ltd,SWARAJENG,Tractors,1638.437857,1349.8,23.04545266
National Peroxide Ltd,NATPEROX,,1631.659505,2839.15,91.10326661
Sarda Energy & Minerals Ltd,SARDAEN,Iron & Steel,1629.06493,451.9,12.89429262
Jai Corp Ltd,JAICORPLTD,Textiles,1622.997384,90.95,48.47783595
Automotive Axles Ltd,AUTOAXLES,Auto Parts,1614.487849,1068.35,39.25329076
Nucleus Software Exports Ltd,NUCLEUS,Software Services,1610.308146,554.5,18.09538314
DB Corp Ltd,DBCORP,Publishing,1607.015655,91.85,5.843299451
Va Tech Wabag Ltd,WABAG,Water Management,1604.513042,258,15.51245649
VST Tillers Tractors Ltd,VSTTILLERS,Tractors,1599.910993,1851.85,88.88394404
Gabriel India Ltd,GABRIEL,Auto Parts,1598.757052,111.3,18.87329775
Orissa Minerals Development Company Ltd,ORISSAMINE,Mining - Diversified,1595.52,2659.2,-20.80479854
Chemcon Speciality Chemicals Ltd,CHEMCON,Specialty Chemicals,1591.237651,434.4,28.25467049
Time Technoplast Ltd,TIMETECHNO,Plastic Products,1587.550185,70.2,9.38656764
PSP Projects Ltd,PSPPROJECT,Construction & Engineering,1575.9,437.75,12.26572229
Ion Exchange (India) Ltd,IONEXCHANG,,1575.353717,1281.5,19.50180532
Prakash Industries Ltd,PRAKASH,Iron & Steel,1574.129365,87.9,13.41916148
Anant Raj Ltd,ANANTRAJ,Real Estate,1571.387984,53.25,54.16711423
Bengal & Assam Company Ltd,BENGALASM,,1570.754408,1390.5,2.953162016
Suvidhaa Infoserve Ltd,SUVIDHAA,Online Services,1569.427287,77.2,1544
IIFL Securities Ltd,IIFLSEC,Diversified Financials,1563.146303,51.6,3.318012281
Force Motors Ltd,FORCEMOT,Four Wheelers,1561.255284,1184.9,31.11930007
Kalyani Steels Ltd,KSL,Iron & Steel,1560.37863,357.45,11.45079823
Nippon India Junior Bees ETF,JUNIORBEES,Equity,1559.692537,369.62,
